"","run_accession","submission_accession","study_abstract","study_description"
"381","SRR3132198","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"382","SRR7524157","SRA740133",NA,NA
"383","SRR7125644","SRA699853",NA,NA
"384","SRR5155836","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"385","SRR3933320","SRA442324","ESRF shotgun metagenomics project",NA
"386","SRR7166766","SRA704437",NA,NA
"387","SRR5156008","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"388","SRR2665308","SRA305332","The gut microbiome of the mice infected by RV (rotavirus) and healthy control raw sequence reads",NA
"389","SRR6659510","SRA654526",NA,NA
"390","SRR1915627","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"391","SRR1915627","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
